,1,2,3,4,5,6,7,8,11,12,13,15,16,17,18,20,23,24,25,26,27,28,29,30,31,32,33,34,36,37,,,,,,,
hsa-miR-346,19.98256433,19.91708313,23.11428094,19.98954071,22.12781101,21.46059316,21.32495219,20.70070393,23.61008712,21.20486032,20.33781788,22.95571039,22.17122213,21.42469282,22.75812207,21.47938563,21.75410028,22.54195259,21.56241168,21.65286719,22.20906051,23.46928675,22.97515283,22.44754569,23.13925118,23.93071902,25.01499319,24.83246098,24.79801223,22.72267944,,,,,,,
hsa-miR-196b,29.34048727,29.65905874,28.16469093,29.85644914,29.81864894,28.52524377,28.93334204,29.0747552,27.83177242,29.28855258,NA,28.61748545,29.80642379,29.39046611,30.03497825,29.45125637,29.58006075,29.16816446,29.28643027,29.3924762,29.48264389,30.13060077,30.00654586,29.00042638,29.28144576,29.03770314,28.10219372,31.12047204,28.89004351,28.89688358,,,,,,,
hsa-miR-214,27.68686927,26.81342581,28.40913177,27.15898282,26.00480752,27.64349502,26.97755659,26.52063408,26.10564971,26.9823006,25.89551939,25.16616129,25.26141261,27.44445515,26.21235421,27.36546716,24.66662361,26.81669338,29.29272222,27.2411948,26.72790752,26.12477214,27.53832828,27.02073797,27.51863258,26.82953341,26.31873268,25.99310236,27.33809936,26.49994155,,,,,,,
hsa-miR-223,19.3560963,22.03238805,20.99499908,22.43878285,22.34631718,19.2095178,21.05085927,21.73532319,19.38233804,19.07793886,19.15431549,19.48576667,19.16636772,20.04883837,20.37204206,20.05010834,19.93615421,19.88765689,21.05986243,20.63277452,NA,18.89978456,21.68171475,20.31556309,20.18661037,NA,18.80150747,NA,NA,19.08924281,,,,,,,
hsa-miR-643,33.5189457,30.60218696,30.93584796,30.44741862,31.11691371,30.89866026,31.01979383,30.93431924,30.83024391,NA,31.61834124,32.93243581,30.83760377,30.50499375,34.8018761,31.41956422,30.67313093,31.43062444,31.48591437,31.38798199,30.81767231,30.40263115,31.73995426,31.46866476,31.74182488,30.49979999,31.92704053,33.62099965,31.61553642,30.56077844,,,,,,,
hsa-miR-608,22.76551528,24.15927841,24.16775499,24.68327545,23.35725348,25.27165135,25.4309295,25.53280442,21.27382287,23.93965004,24.85078566,25.44244245,25.07468547,26.1478759,24.51124694,25.29950447,24.40955894,24.91531387,24.72895668,25.07117564,24.79924351,23.01718007,26.25226359,24.67918449,24.82034453,24.95250388,23.55285556,23.53213107,21.62461369,25.457427,,,,,,,
hsa-miR-376b,30.51202122,32.37501258,31.59645928,30.82055855,27.8186304,30.78947881,34.92779827,32.78040437,NA,NA,31.44746718,30.63805584,30.96894303,31.23216994,31.2647066,32.69869914,31.83071838,32.07915031,NA,30.57906327,31.78810571,32.99880361,28.6196024,31.827879,33.17475394,30.38458499,30.06796092,34.43982536,31.15992403,31.87949284,,,,,,,
hsa-miR-944,NA,32.68815834,32.66244344,32.91885754,30.50130205,NA,NA,33.64025781,30.19412892,NA,NA,NA,NA,32.6526933,30.53691745,30.66615874,NA,NA,NA,NA,31.11344973,NA,31.17756301,NA,31.79520835,NA,30.0649889,NA,32.05707856,31.87358779,,,,,,,
hsa-miR-211,30.04080154,30.99119269,30.98096165,31.20516419,28.5494317,32.80039626,31.48141716,32.53507681,31.60428395,30.67484198,31.58040305,31.37649231,31.12372501,30.8744008,32.57846747,30.19935196,31.99478086,30.65602146,30.71725699,31.63474291,31.39188781,NA,31.91163849,31.92836343,29.81688374,32.27011187,30.29907077,32.80826197,34.43071874,31.37380292,,,,,,,
