,1,2,3,4,5,6,7,8,11,12,13,15,16,17,18,20,23,24,25,26,27,28,29,30,31,32,33,34,36,37
hsa-miR-346,6.860423122,5.771336329,0.77627648,5.565242657,1.550832391,2.508460883,2.287200902,3.663171794,0.525784499,2.95166512,5.444896424,0.830424533,1.327878809,2.33884232,0.96199756,2.102668358,1.666670678,1.096735283,1.990262391,1.873155731,1.200055854,0.583580292,0.779722258,1,0.623649822,0.351852188,0.178461053,0.221777707,0.206123088,0.862514098
hsa-miR-196b,0.981632764,0.632795167,2.199404831,0.559580216,0.704702158,1.759337803,1.100435004,1.036645607,2.645863987,1.021520019,0,1.540102741,0.627115251,0.878370802,0.582419133,0.786343333,0.689627538,1.042382063,0.883817713,0.822873481,0.728196073,0.54132606,0.559620176,1,0.829028844,0.958558223,1.971592399,0.266472007,1.134791638,1.121396516
hsa-miR-214,0.783054645,1.15328974,0.47073399,0.92031189,2.512700197,0.821933087,1.08235291,1.543660491,2.219405388,1.281009387,2.751837675,4.271261868,3.711816225,0.858104086,2.089366076,0.846353383,5.269397517,1.348791015,0.223112058,0.926803579,1.246123298,2.20489501,0.785154818,1,0.713318834,1.123047763,1.72086504,2.361555053,0.843630505,1.497493891
hsa-miR-223,2.416272207,0.303889323,0.76947254,0.232486663,0.304086571,2.724318167,0.630991916,0.407957708,2.247482685,2.941328494,2.821425786,2.099261802,2.431750635,1.38478928,1.147268089,1.291919354,1.340649909,1.575192828,0.643282926,0.866685774,0,3.16131034,0.436026497,1,1.101497565,0,3.021331082,0,0,2.442018236
hsa-miR-643,0.300000176,1.821239493,1.782861382,2.055779825,1.58563328,1.878855888,1.43381663,1.580736744,1.832109582,0,1.137211285,0.42818751,1.698028783,2.24484019,0.118377778,1.112003867,1.788881083,1.202188036,1.064794508,1.14193072,1.597270683,2.480752392,0.931320646,1,0.833557407,1.925294975,0.769905296,0.260574293,0.949455905,1.958351884
hsa-miR-608,4.681547221,1.432315119,1.756626212,1.009995358,3.106390305,0.839372469,0.623838541,0.604004697,12.47049281,2.082588978,1.120059701,0.695840095,0.833525905,0.415883204,1.34035864,0.699182646,1.242416773,0.99412066,1.041059446,0.822906948,0.93598503,3.749630829,0.377764823,1,0.913422066,0.813884139,2.309303194,2.565348766,8.733835543,0.608576779
hsa-miR-376b,3.093358367,0.683640262,1.446731761,2.036031763,20.0087162,2.599528729,0.1225184,0.563984037,0,0,1.642153083,2.694296894,1.988576265,1.739473615,1.76278182,0.587736388,1.028601585,0.983741339,0,2.566154594,1.045642491,0.526249742,10.3885037,1,0.396018201,2.6749441,3.582698765,0.189484954,1.670175302,1.007053169
hsa-miR-944,0,0.228835373,0.28738004,0.1977404,1.296033968,0,0,0.129237018,1.518928024,0,0,0,0,0.27024614,1.214078372,1,0,0,0,0,0.694123426,0,0.733655067,0,0.428510576,0,1.49302389,0,0.372952418,0.420524974
hsa-miR-211,4.597590863,1.912703947,2.376403,1.672074186,12.92632101,0.69150763,1.431905093,0.716748169,1.473415606,2.973918553,1.605627437,1.731421276,1.915124716,2.389823985,0.760266691,3.562951205,0.98425649,2.828356968,2.494811959,1.323550159,1.475385532,0,1.13710408,1,4.352949478,0.77618168,3.272563828,0.629467161,0.185525481,1.532953784
hsa-miR-612,1.613249914,0.899528459,4.171259063,1.167595326,1.417497929,1.274803688,1.26434257,0.667156404,0,0.511223966,0.783098269,0.830532021,1.587817205,0.690232157,0.447964045,0.811611967,0.564663175,0.565773618,1.39618757,1.168300539,0.809680622,1.792224226,1.395360414,1,0.813657318,1.335550442,1.86727925,0.998767912,0.977774415,0.82311467
